x,y,z,map
34.212,13.69,-7.791,10.497816
-20.004292,-24.692953,-14.563684,10.02925
-22.269619,-21.011173,-12.504367,9.220705
-24.392817,-21.526869,-10.427183,8.797031
-24.06287,-28.329689,-10.496436,8.854426
14.26587,-39.323402,25.854702,7.5211945
2.5872922,-13.403116,25.595667,2.185415
3.655714,-11.59826,25.33129,2.179612
4.8847957,-9.901935,25.039457,2.2432232
5.5126734,-9.061904,24.903261,2.299791
6.1550283,-8.227772,24.804237,2.3735585
8.89197,-5.0115986,24.941713,2.8710763
9.591023,-4.2231145,25.031862,3.0144384
11.129046,-2.7835798,25.169792,3.3110657
21.192863,-0.81532264,24.818886,4.8712993
22.22207,-1.0527292,24.771059,5.068324
30.15208,-5.8083386,23.73601,6.599225
26.241335,-14.765114,-7.2767363,13.110404
23.89639,-18.156778,-6.7918963,13.774904
23.145363,-19.805956,-5.7147155,13.809923
24.107826,-23.722279,-0.03971122,12.584246
27.16604,-23.046705,2.6823692,11.99874
28.701565,-21.920012,3.584424,11.6978855
29.377382,-21.17674,3.9119182,11.603194
30.487606,-19.417494,4.2799997,11.492805
31.551487,-13.50644,1.2049031,11.767417
33.16242,9.876135,5.007866,9.696746
24.149265,-22.437,4.7061014,11.768533
26.792288,18.438108,16.990229,7.2278657
-21.62319,-13.780208,-2.4501245,7.1797996
28.564085,-6.3627143,-4.1371202,11.257163
26.77078,11.043039,6.7224383,7.174011
32.434895,4.7145224,13.926084,8.694925
-2.0118883,8.970805,-3.618242,5.9409733
35.11665,-18.722088,18.706078,9.060432
7.407137,9.775467,-12.0215845,8.09695
31.33086,-18.043278,11.34323,9.835599
27.366306,-4.4332523,-9.166987,11.950065
-21.32369,-7.397233,-14.196701,9.53741
-12.793988,1.5966837,2.055677,5.5591407
-12.805869,2.0503225,1.1077331,5.755484
-21.902826,-25.19542,0.7658268,6.638368
20.891336,11.818351,0.4962207,7.296426
33.547867,-14.969091,15.045032,8.849766
35.912243,10.346453,24.705608,8.146899
-12.0762415,-9.983391,13.380871,2.7547667
-0.029164081,-0.8553625,13.14958,2.2006156
15.749296,-22.906921,-1.7818927,11.931233
33.127518,11.653875,27.706455,7.6973014
33.766537,4.6569777,-8.861567,11.239295
-2.1636884,-32.220856,9.441691,6.480428
12.551569,-39.23911,24.024508,7.252942
-2.4809268,-23.713743,26.34075,3.0598936
-3.5550141,-23.241823,25.899021,2.847658
-13.504471,-25.43467,18.134548,3.3681931
-18.939995,-11.738471,-8.852087,8.398012
18.107958,11.426445,11.018657,5.488532
20.50439,4.282158,23.162392,5.03937
29.831457,-1.3801949,-7.229304,11.290117
29.871649,9.402543,-11.270989,10.0360365
30.31989,10.478267,-10.647113,9.98019
19.940535,-14.681868,-7.776616,13.009064
12.960023,8.002004,-11.710414,8.664605
21.887285,16.447908,18.78103,6.457256
35.51218,17.978956,38.143433,9.969919
-2.469405,-21.107359,-7.199261,9.810121
-1.3212265,-27.157793,-2.2550948,8.630446
-19.637318,-11.556164,6.5118966,5.294329
19.034512,8.151012,22.511356,5.076633
20.511953,-37.170143,24.621428,8.626918
19.727415,-37.303238,23.509827,8.512092
21.525486,-36.71733,24.928865,8.8132925
32.188442,2.9724965,-8.761945,11.336097
-14.061035,-3.9077258,7.0834403,4.502813
-9.929016,-30.116032,18.08869,4.1263275
-21.047564,-6.161637,-3.847079,7.366465
-3.3318615,-31.135706,25.190132,4.0805683
13.585342,-2.9648829,-12.826423,10.516555
15.821707,-31.323328,11.101345,9.533488
33.3356,-12.407452,17.450003,8.163725
31.30904,18.614614,19.009632,8.080596
0.04546766,-35.75339,16.902796,5.826975
1.0862303,-35.769955,16.504414,6.0565944
35.759727,19.917076,29.23301,9.298825
35.608727,20.606157,29.990948,9.267877
17.725258,-19.467598,-5.140047,12.91851
33.689465,7.3674197,-9.841096,10.8458
30.553078,-1.5286196,7.226121,9.574468
31.905602,-0.10040834,-1.4593447,10.26091
6.3439517,-37.148563,17.8883,6.6634707
7.2784014,-36.975445,17.517344,6.8407106
13.1423855,2.0563009,-13.003758,9.669891
32.544212,20.62608,36.19698,9.571384
18.181387,10.30622,16.142176,5.1223564
33.582634,-24.257435,18.023987,10.088574
-11.146571,-8.400848,12.553678,2.786603
34.31214,-13.824577,22.304504,8.104537
-8.932625,-22.665598,22.63768,2.4882083
-22.599041,-22.62247,3.0451574,6.1453156
-11.500768,3.2438197,-0.10818422,5.8546863
31.309269,-4.643092,14.6260395,7.958423
-20.838764,-20.65402,7.6398563,5.1663594
14.462465,-36.04107,16.973526,8.03362
3.278977,-2.892176,-15.911312,9.888725
30.384262,19.68096,29.611214,8.281829
23.262863,5.9413815,23.937109,5.646812
16.009336,-17.278801,-7.0942974,12.95639
21.97526,-23.763601,5.2154355,12.050077
35.63427,-21.47459,20.0181,9.467408
7.8898544,-21.451252,-6.523456,11.035733
7.6693935,-20.601162,-7.2823243,11.175978
2.5069618,-11.305875,23.85392,1.706788
27.88202,5.906973,3.7291346,8.308192
34.238388,7.224963,16.282375,8.76924
24.816069,-25.186893,10.0113,11.534726
7.1544294,-5.155024,-14.932345,10.469402
2.3240416,-28.175728,0.2678555,8.633869
-14.867682,-23.416147,16.598167,3.4036806
27.982119,15.021062,12.373776,7.162111
-0.1844367,-21.008205,-7.434129,10.080195
-6.240526,-6.0570545,-15.965601,9.985221
-7.075801,-6.612249,-15.879304,10.045364
25.61806,16.483799,27.322538,7.2388797
-23.199053,-28.243546,-9.10979,8.608596
33.594006,2.2134235,-5.1291637,11.037568
-20.898874,-24.812574,4.584619,5.9130664
12.749702,-38.87708,22.298792,7.3645453
30.240225,-1.1685481,17.012037,7.5241084
-0.21522416,-30.349558,4.1081977,7.5737863
-1.137888,-30.556414,4.3463783,7.4180083
33.593323,-26.744568,23.687347,10.407242
-4.8303375,-32.831055,22.715122,4.3514113
1.5517725,-7.797701,-15.086727,10.616484
-18.658764,-27.335133,6.497915,5.6433654
11.009781,11.603212,-9.102789,7.8157725
-14.655752,-1.7554051,4.838606,5.1427608
-14.245524,-1.0371715,4.4524846,5.194372
33.457214,-26.50926,20.91668,10.397334
36.739204,20.32751,37.565567,10.2098055
17.083141,-31.476383,11.756495,9.600719
9.746051,-4.1902294,23.01791,2.7253711
13.168944,-28.773775,6.354103,10.0556135
13.36079,-29.16352,7.1020565,9.94926
-6.578066,-20.063622,23.61551,2.0045717
-1.7839663,-15.756268,24.253273,1.6203995
-10.708579,1.6359549,3.997954,4.9165587
8.865648,-26.896399,0.49519452,9.901164
14.824199,-38.53155,22.145958,7.715503
-7.9466577,-23.703098,23.558294,2.6633136
16.675905,5.345299,-11.852996,9.306319
14.774194,6.568645,-11.808847,8.994909
31.871359,11.192459,2.7859285,9.396644
-3.2466886,-5.4672556,14.634708,1.524752
5.3003006,-35.344017,14.90655,7.024803
13.069193,-21.472153,-4.596909,11.7866125
13.871579,-21.895582,-3.8352597,11.832142
27.861723,-31.42475,19.385592,10.265623
1.133602,-11.874403,-13.233851,11.322188
-6.346428,-3.0498862,10.826641,2.7736266
11.639256,1.5844026,19.118914,3.2270901
10.685252,1.5707003,18.51734,3.1096227
34.956367,18.686913,25.34169,9.168969
34.236115,19.652954,25.568249,9.002677
33.849236,-14.023466,19.09173,8.251831
27.183142,5.2917404,23.300013,6.264915
28.265362,5.885234,23.42681,6.4787836
18.489174,-16.11731,-7.3290324,13.194774
20.215843,13.302612,16.153831,5.7311034
-17.039423,-25.167057,12.983998,4.291436
-14.5628805,-22.471474,16.942312,3.233033
21.063189,-29.628729,11.408061,10.364543
-13.526512,-13.22648,14.801867,2.768338
-14.220109,-13.168429,14.160572,2.9947917
-13.074435,-13.712445,15.515595,2.5839067
-20.860174,-10.377649,3.1982765,6.028459
34.308105,19.090424,24.599087,9.000363
-20.96256,-6.2122483,-16.787798,10.086405
19.637434,12.062044,21.230032,5.628692
15.523991,8.13933,-11.200897,8.788507
14.853478,8.9093485,-10.975576,8.620493
15.580297,9.809484,-10.437718,8.51235
-7.155955,-31.448984,5.817868,6.5860324
35.883354,15.526645,25.421991,8.8273115
35.64279,16.456863,25.089634,9.063205
35.950493,16.097982,26.336565,8.85144
4.40136,-9.420962,23.622889,1.8932217
4.7608676,7.121223,10.272764,3.6793644
8.331714,0.5937659,-14.721269,9.63951
9.035929,0.25151527,-14.534334,9.736873
3.2883248,-12.381512,-12.901689,11.508495
3.9499178,-11.790244,-13.14896,11.431804
-6.5837483,-20.41154,-7.7474003,9.616555
12.573337,-26.397573,1.5039937,10.61691
16.953615,0.36428234,23.229666,4.039867
10.488215,-37.191074,17.999702,7.3017282
9.701311,-37.662888,18.771328,7.1214385
-8.103694,-6.4335747,-16.048748,9.976758
26.307543,12.861571,-2.439518,8.460703
-4.743112,-18.520554,24.098537,1.8163989
-12.350857,-28.018469,-2.6661336,7.7002726
36.126728,1.9857364,1.11415,10.495834
17.167511,7.777677,18.209814,4.6944213
-16.283297,-14.800484,-10.434479,8.883135
19.016665,-26.709425,6.45885,11.227839
-1.8334382,5.368129,6.7716427,3.9119651
29.139421,-4.223973,-6.110799,11.329853
28.64517,-4.821132,-6.63228,11.465035
-2.811663,7.3479447,2.707536,4.804455
20.438175,14.050039,17.733744,5.942514
-0.821083,7.0444913,5.651429,4.1906304
-2.898034,-17.839437,24.724297,1.9014056
30.802998,-16.469137,9.632323,10.123797
18.019848,-8.478066,-10.696281,11.646121
14.7165785,-25.361326,1.073002,11.214057
14.994974,-24.770363,0.31907472,11.397131
-6.954323,-31.904202,9.808704,6.0169497
30.651482,-0.8478794,-2.4431257,10.383554
19.561094,-30.897863,12.119545,9.914199
20.314276,-31.01866,12.657433,9.911784
-1.546522,9.049711,-1.4402165,5.53153
30.72263,2.2766478,-10.189249,11.1568365
23.811186,9.608325,-11.47457,9.27843
-1.59593,-13.441519,22.76947,1.0676616
29.289753,16.234789,13.816973,7.413414
-4.8738813,2.8835711,-15.8782,8.57822
14.446079,12.483144,-2.636763,7.018776
1.9506022,-18.588806,-9.246291,10.811481
4.0702224,-18.01939,-9.618545,11.186317
-19.417774,-27.946901,-1.4554144,7.257568
10.042715,-13.479752,-11.151413,12.070241
31.638601,8.700981,11.234103,8.509064
-18.495895,-19.461378,-9.168064,8.616883
-14.387631,1.6919656,-0.4386501,6.2735167
-20.426367,-5.5071235,-8.388081,8.340948
-20.279324,-6.22344,-7.5117464,8.197104
-16.024353,2.2697024,-8.4447365,8.043887
3.4520218,10.979189,-3.7617004,6.2662315
21.348545,11.695594,7.4076304,6.2916675
10.212422,-27.756905,2.882605,9.868332
10.94201,-27.266834,2.2591553,10.123661
11.09074,-27.706593,3.2341812,10.028823
-11.36883,-31.235249,9.291846,5.7233405
3.6414924,-37.305565,25.891819,5.6649423
-15.78909,-28.848103,-0.19104256,6.8757453
18.532763,12.007837,0.33619505,6.931576
28.057554,-3.6698828,-9.251772,11.851492
23.732132,-23.595583,0.88078266,12.428658
-19.650085,-28.481314,-6.0863876,8.181038
-2.3238611,-16.380585,-10.267242,10.747577
-10.7025,-15.612951,18.58667,1.8969964
-4.710478,1.9717591,7.879352,3.6191533
-5.659525,1.6496156,7.5098753,3.7441049
-20.674957,-10.191662,-5.83651,7.7876663
11.393475,-28.879593,5.7501693,9.776314
10.770292,-28.709835,5.124466,9.707421
11.974954,-29.53997,7.17386,9.666062
